Post ID,發布時間 (GMT+8),貼文連結,抓取日期,讚數,留言數,分享數,點擊數,觸及人數,影片觀看,自然觀看,付費觀看,讚,愛心,哇,哈哈,嗚嗚,怒,data_updated_at
103640919705348_1135672072090222,2025-10-22 18:45:03,https://www.facebook.com/1115814590742637/posts/1135672072090222,2025-12-16,0,0,0,7,1061,0,0,0,11,0,0,0,0,2,2026-01-15 14:58:28
103640919705348_1135562125434550,2025-10-22 15:30:02,https://www.facebook.com/1115814590742637/posts/1135562125434550,2025-12-16,0,0,0,15,942,0,0,0,8,0,0,0,0,2,2026-01-15 14:58:28
103640919705348_1134874185503344,2025-10-21 18:30:33,https://www.facebook.com/1115814590742637/posts/1134874185503344,2025-12-16,0,0,0,18,1253,0,0,0,12,0,0,0,0,2,2026-01-15 14:58:28
103640919705348_1134771982180231,2025-10-21 15:40:04,https://www.facebook.com/1115814590742637/posts/1134771982180231,2025-12-16,0,0,0,19,993,0,0,0,7,1,0,0,0,2,2026-01-15 14:58:28
103640919705348_1131263662531063,2025-10-17 18:10:05,https://www.facebook.com/1115814590742637/posts/1131263662531063,2025-12-16,0,0,0,66,1372,0,0,0,19,1,0,0,0,1,2026-01-15 14:58:28
103640919705348_1129542262703203,2025-10-15 18:00:17,https://www.facebook.com/1115814590742637/posts/1129542262703203,2025-12-16,0,0,0,22,945,0,0,0,22,0,0,0,0,0,2026-01-15 14:58:28
103640919705348_1127796312877798,2025-10-13 16:37:45,https://www.facebook.com/1115814590742637/posts/1127796312877798,2025-12-16,0,0,0,54,1245,0,0,0,26,0,0,0,0,0,2026-01-15 14:58:28
103640919705348_1123984653258964,2025-10-09 15:38:38,https://www.facebook.com/1115814590742637/posts/1123984653258964,2025-12-16,0,0,0,23,861,0,0,0,15,0,0,0,0,0,2026-01-15 14:58:28
103640919705348_1122328536757909,2025-10-07 20:15:03,https://www.facebook.com/1115814590742637/posts/1122328536757909,2025-12-16,0,0,0,62,1223,0,0,0,24,0,0,0,0,0,2026-01-15 14:58:28
103640919705348_1122225276768235,2025-10-07 17:30:05,https://www.facebook.com/1115814590742637/posts/1122225276768235,2025-12-16,0,0,0,156,1700,0,0,0,57,4,0,0,0,0,2026-01-15 14:58:28
103640919705348_1118586260465470,2025-10-03 18:15:43,https://www.facebook.com/1115814590742637/posts/1118586260465470,2025-12-16,0,0,0,30,1091,0,0,0,20,1,0,0,0,0,2026-01-15 14:58:28
103640919705348_1118413803816049,2025-10-03 13:30:17,https://www.facebook.com/1115814590742637/posts/1118413803816049,2025-12-16,0,0,0,83,1400,0,0,0,30,2,0,0,0,0,2026-01-15 14:58:28
103640919705348_1117610163896413,2025-10-02 18:00:07,https://www.facebook.com/1115814590742637/posts/1117610163896413,2025-12-16,0,0,0,1129,35737,0,0,0,181,1,18,6,3,4,2026-01-15 14:58:28
103640919705348_1117417193915710,2025-10-02 12:45:02,https://www.facebook.com/1115814590742637/posts/1117417193915710,2025-12-16,0,0,0,38,1014,0,0,0,14,1,0,0,0,0,2026-01-15 14:58:28
103640919705348_1116756210648475,2025-10-01 18:35:04,https://www.facebook.com/1115814590742637/posts/1116756210648475,2025-12-16,0,0,0,36,2044,0,0,0,22,0,0,0,0,1,2026-01-15 14:58:28
103640919705348_780669138147055,2025-09-30 11:56:19,https://www.facebook.com/1115814590742637/posts/780669138147055?substory_index=780669138147055,2025-12-16,0,0,0,13,592,0,0,0,0,0,0,0,0,0,2026-01-15 14:58:28
103640919705348_1114945644162865,2025-09-29 18:01:07,https://www.facebook.com/1115814590742637/posts/1114945644162865,2025-12-16,0,0,0,85,1442,0,0,0,51,1,0,0,0,0,2026-01-15 14:58:28
103640919705348_1112455191078577,2025-09-26 18:01:06,https://www.facebook.com/1115814590742637/posts/1112455191078577,2025-12-16,0,0,0,19,1650,0,0,0,37,0,0,0,0,0,2026-01-15 14:58:28
